Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating
302-37-1980,B,Odesa,Normal,Female,Food & Beverages,65.88,9,29.646,622.5659999999999,2023-01-01,00:00,Cash,592.92,4.761905,29.646,8.0
972-28-2748,C,Odesa,Normal,Female,Clothing,79.28,2,7.928000000000001,166.488,2023-01-01,01:00,Cash,158.56,4.761905,7.928000000000001,9.3
954-74-8219,C,Kyiv,Member,Male,Electronics,29.26,9,13.167000000000002,276.50700000000006,2023-01-01,02:00,Ewallet,263.34000000000003,4.761905,13.167000000000002,6.6
626-56-1563,C,Odesa,Member,Male,Electronics,46.32,6,13.896,291.81600000000003,2023-01-01,03:00,Credit card,277.92,4.761905,13.896,7.3
241-10-9355,C,Odesa,Normal,Female,Food & Beverages,49.36,4,9.872,207.312,2023-01-01,04:00,Cash,197.44,4.761905,9.872,5.9
808-12-9628,B,Kyiv,Normal,Female,Home & Lifestyle,96.56,4,19.312,405.552,2023-01-01,05:00,Cash,386.24,4.761905,19.312,8.7
494-65-3830,C,Odesa,Member,Female,Clothing,53.07,1,2.6535,55.7235,2023-01-01,06:00,Cash,53.07,4.761905,2.6535,6.0
403-93-9036,B,Lviv,Normal,Male,Clothing,32.74,2,3.2740000000000005,68.754,2023-01-01,07:00,Cash,65.48,4.761905,3.2740000000000005,8.2
686-65-4380,A,Odesa,Normal,Female,Sports,27.62,1,1.3810000000000002,29.001,2023-01-01,08:00,Ewallet,27.62,4.761905,1.3810000000000002,6.3
319-50-6099,C,Kyiv,Member,Female,Electronics,54.16,2,5.416,113.73599999999999,2023-01-01,09:00,Ewallet,108.32,4.761905,5.416,8.5
115-73-2071,A,Lviv,Normal,Male,Sports,92.54,4,18.508000000000003,388.668,2023-01-01,10:00,Cash,370.16,4.761905,18.508000000000003,5.7
598-32-7259,B,Lviv,Normal,Male,Beauty,34.45,9,15.502500000000001,325.5525,2023-01-01,11:00,Cash,310.05,4.761905,15.502500000000001,9.3
468-75-7057,C,Kyiv,Normal,Male,Electronics,18.45,6,5.535,116.23499999999999,2023-01-01,12:00,Cash,110.69999999999999,4.761905,5.535,8.0
132-86-2382,B,Odesa,Member,Female,Clothing,52.54,3,7.881,165.501,2023-01-01,13:00,Ewallet,157.62,4.761905,7.881,5.3
676-90-2668,B,Odesa,Member,Male,Home & Lifestyle,85.22,10,42.61000000000001,894.8100000000001,2023-01-01,14:00,Cash,852.2,4.761905,42.61000000000001,7.0
910-53-9343,C,Kyiv,Member,Male,Beauty,71.45,8,28.580000000000002,600.1800000000001,2023-01-01,15:00,Cash,571.6,4.761905,28.580000000000002,7.4
662-28-3308,B,Kyiv,Member,Male,Sports,86.89,1,4.3445,91.2345,2023-01-01,16:00,Cash,86.89,4.761905,4.3445,5.4
207-56-7640,A,Odesa,Normal,Male,Clothing,79.05,6,23.715,498.01499999999993,2023-01-01,17:00,Credit card,474.29999999999995,4.761905,23.715,8.7
861-41-6048,B,Lviv,Normal,Male,Clothing,96.28,6,28.884000000000004,606.5640000000001,2023-01-01,18:00,Credit card,577.6800000000001,4.761905,28.884000000000004,7.6
897-59-6562,A,Lviv,Member,Female,Sports,62.8,7,21.98,461.58,2023-01-01,19:00,Cash,439.59999999999997,4.761905,21.98,5.6
456-33-8965,B,Kyiv,Normal,Male,Beauty,40.82,7,14.287,300.027,2023-01-01,20:00,Ewallet,285.74,4.761905,14.287,8.0
395-88-4927,C,Odesa,Normal,Female,Food & Beverages,10.32,5,2.58,54.18,2023-01-01,21:00,Credit card,51.6,4.761905,2.58,7.1
662-82-6109,A,Kyiv,Member,Female,Beauty,90.62,9,40.779,856.359,2023-01-01,22:00,Credit card,815.58,4.761905,40.779,9.4
997-71-1943,A,Odesa,Member,Male,Electronics,20.14,2,2.0140000000000002,42.294000000000004,2023-01-01,23:00,Credit card,40.28,4.761905,2.0140000000000002,9.7
544-29-3825,B,Lviv,Normal,Female,Clothing,34.4,10,17.2,361.2,2023-01-02,00:00,Cash,344.0,4.761905,17.2,9.7
636-81-8581,A,Odesa,Member,Female,Sports,96.38,2,9.638,202.398,2023-01-02,01:00,Credit card,192.76,4.761905,9.638,8.8
925-47-3896,C,Odesa,Normal,Male,Beauty,94.03,4,18.806,394.926,2023-01-02,02:00,Cash,376.12,4.761905,18.806,7.4
362-77-4372,C,Odesa,Member,Female,Beauty,89.11,2,8.911,187.131,2023-01-02,03:00,Ewallet,178.22,4.761905,8.911,6.2
398-24-7104,A,Odesa,Normal,Male,Food & Beverages,19.81,2,1.9809999999999999,41.601,2023-01-02,04:00,Ewallet,39.62,4.761905,1.9809999999999999,7.5
312-67-9399,A,Odesa,Normal,Male,Electronics,67.32,4,13.463999999999999,282.74399999999997,2023-01-02,05:00,Ewallet,269.28,4.761905,13.463999999999999,9.5
692-40-1432,B,Odesa,Normal,Male,Home & Lifestyle,28.44,10,14.220000000000002,298.62000000000006,2023-01-02,06:00,Cash,284.40000000000003,4.761905,14.220000000000002,6.7
162-18-6140,C,Kyiv,Normal,Female,Beauty,98.04,1,4.902000000000001,102.94200000000001,2023-01-02,07:00,Ewallet,98.04,4.761905,4.902000000000001,7.4
745-87-6176,B,Lviv,Member,Male,Beauty,32.76,3,4.914000000000001,103.194,2023-01-02,08:00,Cash,98.28,4.761905,4.914000000000001,6.2
473-74-7233,B,Kyiv,Normal,Female,Sports,85.61,8,34.244,719.124,2023-01-02,09:00,Credit card,684.88,4.761905,34.244,6.8
933-38-6079,C,Kyiv,Member,Male,Home & Lifestyle,84.36,1,4.218,88.578,2023-01-02,10:00,Ewallet,84.36,4.761905,4.218,9.4
879-88-4297,C,Lviv,Member,Female,Home & Lifestyle,38.66,5,9.665,202.96499999999997,2023-01-02,11:00,Ewallet,193.29999999999998,4.761905,9.665,9.6
984-14-9015,C,Lviv,Normal,Male,Sports,56.8,7,19.88,417.47999999999996,2023-01-02,12:00,Ewallet,397.59999999999997,4.761905,19.88,4.9
240-41-5255,B,Kyiv,Member,Female,Home & Lifestyle,58.08,4,11.616,243.93599999999998,2023-01-02,13:00,Cash,232.32,4.761905,11.616,4.4
841-85-5111,C,Odesa,Normal,Male,Food & Beverages,97.29,4,19.458000000000002,408.61800000000005,2023-01-02,14:00,Credit card,389.16,4.761905,19.458000000000002,4.1
323-78-1250,B,Kyiv,Member,Female,Electronics,10.82,9,4.869,102.249,2023-01-02,15:00,Cash,97.38,4.761905,4.869,7.3
474-67-3348,A,Odesa,Member,Female,Sports,82.15,9,36.9675,776.3175,2023-01-02,16:00,Credit card,739.35,4.761905,36.9675,4.8
194-48-8359,C,Odesa,Normal,Female,Clothing,51.46,10,25.730000000000004,540.33,2023-01-02,17:00,Credit card,514.6,4.761905,25.730000000000004,6.4
837-30-2426,B,Lviv,Normal,Female,Sports,95.61,10,47.80500000000001,1003.905,2023-01-02,18:00,Cash,956.1,4.761905,47.80500000000001,4.6
580-15-5308,B,Lviv,Member,Male,Sports,78.06,4,15.612000000000002,327.85200000000003,2023-01-02,19:00,Credit card,312.24,4.761905,15.612000000000002,7.8
532-79-8123,B,Lviv,Normal,Female,Beauty,78.83,2,7.883,165.543,2023-01-02,20:00,Ewallet,157.66,4.761905,7.883,9.3
623-83-2172,B,Odesa,Normal,Male,Clothing,12.6,8,5.04,105.84,2023-01-02,21:00,Cash,100.8,4.761905,5.04,5.2
891-67-4460,B,Lviv,Normal,Male,Electronics,59.25,4,11.850000000000001,248.85,2023-01-02,22:00,Credit card,237.0,4.761905,11.850000000000001,8.2
106-57-9222,C,Lviv,Normal,Female,Clothing,83.36,3,12.504,262.584,2023-01-02,23:00,Ewallet,250.07999999999998,4.761905,12.504,4.9
567-95-6256,A,Kyiv,Member,Male,Food & Beverages,71.68,9,32.25600000000001,677.3760000000001,2023-01-03,00:00,Ewallet,645.1200000000001,4.761905,32.25600000000001,4.8
984-15-4215,A,Lviv,Normal,Male,Home & Lifestyle,60.19,9,27.085500000000003,568.7955000000001,2023-01-03,01:00,Cash,541.71,4.761905,27.085500000000003,7.1
666-81-8357,A,Kyiv,Normal,Male,Food & Beverages,29.05,3,4.357500000000001,91.50750000000001,2023-01-03,02:00,Ewallet,87.15,4.761905,4.357500000000001,5.6
703-88-9701,B,Kyiv,Member,Male,Beauty,51.85,5,12.9625,272.2125,2023-01-03,03:00,Ewallet,259.25,4.761905,12.9625,9.4
456-75-3135,A,Kyiv,Member,Male,Electronics,81.2,4,16.240000000000002,341.04,2023-01-03,04:00,Ewallet,324.8,4.761905,16.240000000000002,5.8
391-81-2403,A,Odesa,Normal,Male,Home & Lifestyle,59.13,9,26.608500000000006,558.7785000000001,2023-01-03,05:00,Cash,532.1700000000001,4.761905,26.608500000000006,5.3
314-81-9444,B,Lviv,Member,Female,Home & Lifestyle,54.45,5,13.6125,285.8625,2023-01-03,06:00,Credit card,272.25,4.761905,13.6125,5.4
794-52-6541,B,Kyiv,Member,Male,Electronics,33.52,8,13.408000000000001,281.56800000000004,2023-01-03,07:00,Credit card,268.16,4.761905,13.408000000000001,9.1
349-96-6864,C,Kyiv,Normal,Male,Food & Beverages,80.55,8,32.22,676.62,2023-01-03,08:00,Ewallet,644.4,4.761905,32.22,7.0
983-61-6648,C,Kyiv,Member,Female,Food & Beverages,19.69,5,4.9225,103.3725,2023-01-03,09:00,Cash,98.45,4.761905,4.9225,9.4
190-48-4482,A,Kyiv,Member,Female,Clothing,20.23,8,8.092,169.93200000000002,2023-01-03,10:00,Ewallet,161.84,4.761905,8.092,4.5
268-61-1589,A,Lviv,Member,Male,Beauty,40.87,1,2.0435,42.9135,2023-01-03,11:00,Credit card,40.87,4.761905,2.0435,6.2
328-88-1471,A,Lviv,Member,Female,Clothing,19.72,10,9.86,207.06,2023-01-03,12:00,Ewallet,197.2,4.761905,9.86,9.8
755-86-1077,C,Kyiv,Member,Female,Electronics,57.56,7,20.146,423.06600000000003,2023-01-03,13:00,Credit card,402.92,4.761905,20.146,6.2
345-99-4556,A,Odesa,Normal,Female,Clothing,46.42,3,6.963,146.22299999999998,2023-01-03,14:00,Credit card,139.26,4.761905,6.963,5.6
199-62-1854,A,Kyiv,Normal,Male,Electronics,55.82,3,8.373000000000001,175.833,2023-01-03,15:00,Credit card,167.46,4.761905,8.373000000000001,9.3
831-93-7233,B,Lviv,Member,Male,Electronics,17.62,1,0.8810000000000001,18.501,2023-01-03,16:00,Credit card,17.62,4.761905,0.8810000000000001,9.4
842-74-4827,C,Lviv,Normal,Female,Home & Lifestyle,52.19,10,26.095,547.995,2023-01-03,17:00,Credit card,521.9,4.761905,26.095,9.6
231-70-4793,B,Odesa,Normal,Female,Electronics,92.24,6,27.671999999999997,581.112,2023-01-03,18:00,Credit card,553.4399999999999,4.761905,27.671999999999997,10.0
161-83-8836,A,Lviv,Normal,Female,Food & Beverages,56.36,2,5.636,118.356,2023-01-03,19:00,Cash,112.72,4.761905,5.636,6.6
983-68-1504,C,Lviv,Normal,Female,Home & Lifestyle,86.16,9,38.772,814.212,2023-01-03,20:00,Cash,775.4399999999999,4.761905,38.772,8.5
460-54-5824,C,Lviv,Normal,Male,Beauty,49.72,10,24.86,522.06,2023-01-03,21:00,Cash,497.2,4.761905,24.86,9.2
861-17-1081,A,Lviv,Normal,Female,Home & Lifestyle,31.17,7,10.909500000000001,229.0995,2023-01-03,22:00,Cash,218.19,4.761905,10.909500000000001,6.2
957-22-3376,C,Lviv,Member,Female,Food & Beverages,25.62,9,11.529000000000002,242.109,2023-01-03,23:00,Cash,230.58,4.761905,11.529000000000002,5.5
333-65-2156,C,Odesa,Normal,Male,Sports,41.45,10,20.725,435.225,2023-01-04,00:00,Cash,414.5,4.761905,20.725,7.1
884-30-6897,A,Kyiv,Normal,Male,Electronics,87.84,2,8.784,184.464,2023-01-04,01:00,Credit card,175.68,4.761905,8.784,6.7
977-84-4750,A,Lviv,Member,Male,Electronics,58.48,7,20.468,429.828,2023-01-04,02:00,Ewallet,409.35999999999996,4.761905,20.468,9.4
780-72-8486,B,Lviv,Member,Male,Home & Lifestyle,21.87,1,1.0935000000000001,22.9635,2023-01-04,03:00,Ewallet,21.87,4.761905,1.0935000000000001,7.8
262-84-7084,B,Odesa,Member,Female,Beauty,93.21,3,13.9815,293.6115,2023-01-04,04:00,Cash,279.63,4.761905,13.9815,5.4
349-38-9261,C,Kyiv,Member,Female,Electronics,25.19,6,7.557000000000001,158.697,2023-01-04,05:00,Cash,151.14000000000001,4.761905,7.557000000000001,4.4
147-39-5085,A,Lviv,Member,Male,Electronics,69.71,3,10.4565,219.5865,2023-01-04,06:00,Credit card,209.13,4.761905,10.4565,7.7
365-19-7855,B,Lviv,Normal,Female,Beauty,46.09,3,6.913500000000001,145.1835,2023-01-04,07:00,Ewallet,138.27,4.761905,6.913500000000001,8.5
456-34-3159,B,Kyiv,Normal,Female,Beauty,31.92,8,12.768,268.12800000000004,2023-01-04,08:00,Cash,255.36,4.761905,12.768,8.5
867-22-7455,A,Lviv,Normal,Male,Sports,48.82,4,9.764000000000001,205.044,2023-01-04,09:00,Ewallet,195.28,4.761905,9.764000000000001,5.2
658-35-7272,C,Lviv,Member,Female,Beauty,88.37,1,4.418500000000001,92.7885,2023-01-04,10:00,Cash,88.37,4.761905,4.418500000000001,8.6
226-65-3506,B,Kyiv,Member,Male,Clothing,52.01,6,15.603000000000002,327.663,2023-01-04,11:00,Credit card,312.06,4.761905,15.603000000000002,4.9
257-74-5742,B,Odesa,Member,Female,Clothing,40.84,1,2.0420000000000003,42.882000000000005,2023-01-04,12:00,Cash,40.84,4.761905,2.0420000000000003,5.7
813-74-4723,B,Kyiv,Member,Male,Clothing,11.55,2,1.155,24.255000000000003,2023-01-04,13:00,Ewallet,23.1,4.761905,1.155,9.3
699-10-3262,C,Kyiv,Member,Female,Clothing,94.42,9,42.489000000000004,892.269,2023-01-04,14:00,Credit card,849.78,4.761905,42.489000000000004,9.7
386-27-4181,B,Lviv,Normal,Female,Electronics,11.52,7,4.032,84.672,2023-01-04,15:00,Credit card,80.64,4.761905,4.032,5.8
230-90-7142,B,Odesa,Normal,Male,Sports,74.06,5,18.515,388.815,2023-01-04,16:00,Credit card,370.3,4.761905,18.515,8.4
207-94-6424,B,Lviv,Member,Male,Beauty,16.66,9,7.497,157.437,2023-01-04,17:00,Credit card,149.94,4.761905,7.497,5.1
817-83-7301,C,Lviv,Normal,Female,Electronics,22.24,7,7.783999999999999,163.46399999999997,2023-01-04,18:00,Credit card,155.67999999999998,4.761905,7.783999999999999,8.9
756-47-1166,C,Lviv,Normal,Female,Home & Lifestyle,49.03,8,19.612000000000002,411.85200000000003,2023-01-04,19:00,Credit card,392.24,4.761905,19.612000000000002,8.1
158-41-9998,B,Kyiv,Normal,Female,Beauty,99.77,9,44.8965,942.8264999999999,2023-01-04,20:00,Cash,897.93,4.761905,44.8965,7.6
857-23-7092,B,Lviv,Member,Female,Food & Beverages,86.41,7,30.2435,635.1135,2023-01-04,21:00,Ewallet,604.87,4.761905,30.2435,6.9
692-48-8458,A,Odesa,Member,Male,Clothing,51.09,1,2.5545000000000004,53.6445,2023-01-04,22:00,Cash,51.09,4.761905,2.5545000000000004,8.6
414-86-4658,B,Kyiv,Member,Male,Clothing,46.04,1,2.302,48.342,2023-01-04,23:00,Cash,46.04,4.761905,2.302,7.5
895-16-8683,B,Lviv,Normal,Female,Electronics,15.07,6,4.521,94.941,2023-01-05,00:00,Credit card,90.42,4.761905,4.521,8.0
